dataset_id,parquet_convertible,status_code,partial,partial_split_names_seen,num_shards
issai/Multilingual_Speech_Dataset,True,200,True,,10.0
aplycaebous/BnSentMix,True,200,False,,1.0
microsoft/NOTSOFAR,True,200,False,,3.0
Rapidata/sora-video-generation-style-likert-scoring,True,200,False,,1.0
yzhuang/Agentic-Long-Context-Understanding-QA,True,200,True,,13.0
atlasia/DODa-audio-dataset,,401,,,
fleaven/Retargeted_AMASS_for_robotics,,500,,,
dwb2023/hetionet-nodes,True,200,False,,1.0
rogue-security/prompt-injections-benchmark,,401,,,
thesofakillers/jigsaw-toxic-comment-classification-challenge,True,200,False,,2.0
llm-jp/AnswerCarefully,,401,,,
facebook/natural_reasoning,True,200,False,,9.0
CGIAR/gardian-cigi-ai-documents,,401,,,
